id,xmin,ymin,xmax,ymax,label,score,image_name
0,168.24948120117188,355.4908142089844,266.8516845703125,423.51263427734375,99,1.0,0
1,255.09637451171875,340.9216613769531,310.6456298828125,461.6809997558594,10,0.9999998807907104,0
2,190.40579223632812,260.5437316894531,269.51849365234375,365.07635498046875,10,0.9999997615814209,0
3,183.8046875,346.1391906738281,314.4820861816406,408.1697082519531,8,1.0,1
4,174.04721069335938,418.0462646484375,334.02947998046875,533.0371704101562,99,0.9999998807907104,1
5,73.6142578125,375.2052001953125,198.0221710205078,564.3692016601562,10,0.9999998807907104,1
6,151.1661376953125,271.0727844238281,348.3196716308594,365.72216796875,10,0.9999997615814209,1
7,325.75439453125,249.07138061523438,387.250732421875,327.4714050292969,8,1.0,2
8,232.4305877685547,373.15936279296875,272.8201599121094,432.040771484375,37,0.9999997615814209,2
9,204.96728515625,301.47198486328125,299.4065246582031,373.6647033691406,56,0.9999998807907104,3
10,247.5853729248047,312.49481201171875,390.271484375,370.5940856933594,10,1.0,4
11,182.62498474121094,311.73712158203125,251.52340698242188,379.8905334472656,36,0.9999998807907104,4
12,207.55271911621094,262.8276062011719,350.62933349609375,320.8555908203125,10,0.9999998807907104,4
13,208.77174377441406,209.0162353515625,317.1020202636719,262.16363525390625,10,0.9999991655349731,4
14,109.9620590209961,288.5404357910156,272.12603759765625,416.92376708984375,43,1.0,5
15,126.1718521118164,373.9584045410156,203.5666961669922,521.0361938476562,91,0.9999997615814209,5
16,189.92117309570312,376.75543212890625,338.3769836425781,535.712646484375,43,0.9999997615814209,5
17,69.33118438720703,429.89666748046875,137.8026580810547,502.45361328125,70,0.9999992847442627,5
18,125.39945220947266,339.365478515625,244.21963500976562,434.36328125,91,0.9999998807907104,6
19,71.2050552368164,253.17083740234375,165.09335327148438,396.6155090332031,43,0.9999998807907104,6
20,234.59730529785156,257.5088806152344,296.633056640625,404.2825012207031,43,0.9999984502792358,6
21,179.54083251953125,318.34490966796875,262.082763671875,456.0342712402344,43,1.0,7
22,195.92874145507812,252.4951629638672,300.3069152832031,327.5807189941406,91,1.0,7
23,122.11557006835938,311.2585754394531,211.01576232910156,450.1212158203125,43,0.9999997615814209,7
24,153.1409454345703,266.1497802734375,200.8891143798828,321.89215087890625,70,0.9999991655349731,7
25,145.3878936767578,392.0669860839844,281.36553955078125,483.58447265625,43,1.0,8
26,225.16275024414062,424.8428039550781,329.6355285644531,512.0943603515625,91,1.0,8
27,206.8234100341797,320.7445983886719,323.1360778808594,420.9830017089844,43,0.9999996423721313,8
28,118.70819854736328,290.7945251464844,248.16079711914062,399.87518310546875,56,1.0,9
29,147.04043579101562,308.6254577636719,307.03387451171875,407.3441467285156,56,1.0,10
30,167.41140747070312,210.7471923828125,281.7839660644531,330.9609375,56,0.9999998807907104,11
31,150.56729125976562,392.8044128417969,296.3530578613281,495.1004333496094,56,0.9999997615814209,12
32,109.76094818115234,395.6235046386719,181.44760131835938,469.49822998046875,51,1.0,13
33,151.94247436523438,442.97113037109375,226.5644989013672,517.6150512695312,51,0.9999998807907104,13
34,141.7769317626953,340.520751953125,206.5554656982422,406.8848571777344,51,1.0,14
35,201.10540771484375,344.6142272949219,265.332275390625,409.037353515625,51,0.9999998807907104,14
36,218.71420288085938,405.4526672363281,263.8793029785156,457.84991455078125,23,0.9999974966049194,14
37,200.49644470214844,294.94635009765625,268.6741943359375,364.6218566894531,51,1.0,15
38,170.71612548828125,382.9538269042969,241.3865509033203,453.8558044433594,51,0.9999998807907104,15
39,170.3873748779297,368.54010009765625,241.36666870117188,440.10223388671875,51,0.9999998807907104,16
40,235.50418090820312,381.22149658203125,310.55322265625,459.0859375,51,0.9999998807907104,16
41,112.44538116455078,379.9555969238281,175.90872192382812,441.7715148925781,23,0.9999996423721313,16
42,159.41212463378906,302.6186828613281,213.20115661621094,354.5101013183594,54,0.9999998807907104,17
43,170.17044067382812,235.56594848632812,256.46124267578125,310.03546142578125,54,0.9999998807907104,17
44,198.21841430664062,315.3791809082031,299.84442138671875,417.2188720703125,54,1.0,18
45,187.8607177734375,359.8988342285156,275.40869140625,479.3625793457031,92,0.9999998807907104,19
46,94.72943115234375,355.9288635253906,148.61740112304688,406.30621337890625,45,0.9999996423721313,19
47,112.53079223632812,321.5984191894531,163.3546142578125,371.6330871582031,-1,0.9999996423721313,20
48,220.7021026611328,242.23895263671875,336.6517333984375,350.69512939453125,-1,1.0,21
49,143.01686096191406,360.3948974609375,299.5550231933594,487.439208984375,-1,0.7971380949020386,21
50,188.1142120361328,96.33415222167969,306.3765869140625,226.1477508544922,-1,0.25304892659187317,21
51,118.61919403076172,259.4278869628906,234.7416534423828,391.4756164550781,-1,0.13220864534378052,21
52,165.6314239501953,152.1342010498047,230.62904357910156,207.65814208984375,64,1.0,22
53,140.58937072753906,199.24993896484375,206.5196533203125,259.56591796875,64,0.9999998807907104,22
54,207.57334899902344,217.7041778564453,256.32208251953125,268.10443115234375,41,0.9999994039535522,22
55,114.05949401855469,483.43817138671875,206.85475158691406,580.1858520507812,64,0.9999997615814209,23
56,206.3220977783203,288.9560546875,285.9513854980469,366.6943054199219,64,0.9999995231628418,23
57,167.3517608642578,269.9954833984375,318.9405517578125,345.9619445800781,43,0.9999998807907104,24
58,160.12860107421875,344.7962341308594,300.18890380859375,415.6031188964844,89,0.9999998807907104,24
59,133.863525390625,233.0615997314453,259.43975830078125,308.2776184082031,89,0.9999997615814209,24
60,85.69188690185547,294.12469482421875,156.46095275878906,461.5243225097656,43,0.9999997615814209,24
61,438.5015563964844,504.72088623046875,480.0000305175781,576.8990478515625,75,0.9999858140945435,24
62,189.81459045410156,277.34490966796875,297.8976745605469,344.64544677734375,89,1.0,25
63,77.58667755126953,279.50213623046875,200.00877380371094,376.628173828125,43,1.0,25
64,86.43693542480469,347.59393310546875,213.4125213623047,448.6455993652344,43,1.0,25
65,209.40333557128906,332.9110107421875,280.0244140625,386.9334716796875,75,1.0,25
